id,nome_usuario,titulo_midia,tipo_midia,estrelas,comentario,deleted
654,Dra. Isabel Souza,Interestelar,Filme,5,Recomendo para todo mundo!,False
655,Gustavo Ribeiro,Demon Slayer,Anime,3,Tem seus altos e baixos.,False
656,Maysa Aparecida,Game of Thrones,Série,3,"É ok, mas não me marcou.",False
657,Laís Casa Grande,Matrix,Filme,3,"Bom, mas nada de especial.",False
658,Dr. Yago Souza,Demon Slayer,Anime,2,Não gostei muito.,False
659,Benjamim Macedo,Death Note,Anime,1,"Péssimo, perdi meu tempo.",False
660,Benicio Costela,Pulp Fiction,Filme,4,Ótima história e personagens.,False
661,Sr. Théo Macedo,Demon Slayer,Anime,2,Não funcionou pra mim.,False
662,Letícia Rezende,A Origem,Filme,5,"Incrível, assistiria de novo.",False
663,Benjamim Aragão,Batman: O Cavaleiro das Trevas,Filme,5,Recomendo para todo mundo!,False
664,Mirella Moreira,O Clone,Novela,3,"Bom, mas nada de especial.",False
665,Ana Cecília Fernandes,A Origem,Filme,4,"Quase perfeito, vale muito a pena.",False
666,Francisco Camargo,Breaking Bad,Série,4,"Quase perfeito, vale muito a pena.",False
667,Marina Rezende,O Poderoso Chefão,Filme,3,Tem seus altos e baixos.,False
668,Theodoro Macedo,Dark,Série,1,"Péssimo, perdi meu tempo.",False
669,Laís Silva,Dark,Série,4,Surpreendeu positivamente.,False
670,Raul Nascimento,Attack on Titan,Anime,1,Não recomendo de jeito nenhum.,False
671,Calebe Ramos,The Office,Série,4,"Muito bom, gostei bastante.",False
672,Lavínia Brito,Senhora do Destino,Novela,2,Não gostei muito.,False
673,Felipe Novais,Cidade de Deus,Filme,4,"Muito bom, gostei bastante.",False
674,Ayla Barbosa,Dark,Série,5,Perfeito! Uma obra-prima.,False
675,Manuela Martins,Death Note,Anime,1,"Péssimo, perdi meu tempo.",False
676,Benjamin Souza,Dark,Série,2,Não gostei muito.,False
677,Sarah Guerra,Naruto,Anime,5,Recomendo para todo mundo!,False
678,Kevin Silva,Fullmetal Alchemist: Brotherhood,Anime,3,Tem seus altos e baixos.,False
679,Agatha Moraes,Avenida Brasil,Novela,1,"Péssimo, perdi meu tempo.",False
680,Lucas Gabriel Dias,O Poderoso Chefão,Filme,3,"É ok, mas não me marcou.",False
681,Isaac das Neves,Fullmetal Alchemist: Brotherhood,Anime,3,Divertido para passar o tempo.,False
682,Luara Aparecida,Interestelar,Filme,4,Ótima história e personagens.,False
683,Eloá Andrade,A Origem,Filme,5,"Incrível, assistiria de novo.",False
684,Sr. Nicolas Silva,Pulp Fiction,Filme,1,Não recomendo de jeito nenhum.,False
685,Pedro Henrique Leão,Death Note,Anime,4,"Quase perfeito, vale muito a pena.",False
686,Aurora Moraes,Dark,Série,5,"Incrível, assistiria de novo.",False
687,Liz Cardoso,Stranger Things,Série,1,"Terrível, um dos piores que já vi.",False
688,Isabel Albuquerque,Dark,Série,4,"Muito bom, gostei bastante.",False
689,Milena Monteiro,O Clone,Novela,2,Não funcionou pra mim.,False
690,Kevin Cirino,Pulp Fiction,Filme,4,Surpreendeu positivamente.,False
691,Davi Luiz Gomes,Avenida Brasil,Novela,3,Divertido para passar o tempo.,False
692,Henrique Vieira,Breaking Bad,Série,1,"Péssimo, perdi meu tempo.",False
693,Anthony Barbosa,Matrix,Filme,4,Surpreendeu positivamente.,False
694,Cecília Ribeiro,O Senhor dos Anéis: O Retorno do Rei,Filme,4,"Quase perfeito, vale muito a pena.",False
695,Matteo Farias,Matrix,Filme,3,Tem seus altos e baixos.,False
696,Dr. Diogo Câmara,Batman: O Cavaleiro das Trevas,Filme,5,Top 10 da minha vida.,False
697,Diego Barros,Stranger Things,Série,3,Tem seus altos e baixos.,False
698,Arthur Gabriel Freitas,O Poderoso Chefão,Filme,5,Sensacional!,False
699,Sarah Câmara,Vale Tudo,Novela,4,"Muito bom, gostei bastante.",False
700,Nathan Monteiro,Attack on Titan,Anime,5,Sensacional!,False
701,Theo Mendes,Interestelar,Filme,3,"É ok, mas não me marcou.",False
702,Ayla Aparecida,Cidade de Deus,Filme,5,Top 10 da minha vida.,False
703,Stephany Freitas,A Origem,Filme,2,Não funcionou pra mim.,False
704,Henry Gabriel Mendonça,Batman: O Cavaleiro das Trevas,Filme,2,Não gostei muito.,False
705,Asafe da Paz,O Senhor dos Anéis: O Retorno do Rei,Filme,1,"Terrível, um dos piores que já vi.",False
706,Benício Silveira,Jujutsu Kaisen,Anime,3,"Bom, mas nada de especial.",False
707,Dr. Nicolas da Rocha,Parasita,Filme,5,"Incrível, assistiria de novo.",False
708,Fernanda Monteiro,Vale Tudo,Novela,4,Ótima história e personagens.,False
709,Raul Montenegro,Avenida Brasil,Novela,2,Não funcionou pra mim.,False
710,Srta. Manuella Moraes,Vale Tudo,Novela,4,"Quase perfeito, vale muito a pena.",False
711,Dra. Maria Eduarda da Rosa,Interestelar,Filme,5,Recomendo para todo mundo!,False
712,Sra. Maria Júlia Pires,Senhora do Destino,Novela,1,"Terrível, um dos piores que já vi.",False
713,Nicolas Melo,Matrix,Filme,3,"Bom, mas nada de especial.",False
714,Carlos Eduardo Aparecida,Death Note,Anime,2,"Esperava bem mais, foi uma decepção.",False
715,Daniela Souza,O Senhor dos Anéis: O Retorno do Rei,Filme,4,"Muito bom, gostei bastante.",False
716,Maria Clara Pinto,Naruto,Anime,1,Não recomendo de jeito nenhum.,False
717,Mariane Albuquerque,Interestelar,Filme,2,Não gostei muito.,False
718,Emanuelly Machado,Black Mirror,Série,4,"Quase perfeito, vale muito a pena.",False
719,Maya Melo,Black Mirror,Série,3,Divertido para passar o tempo.,False
720,Caleb Araújo,Black Mirror,Série,2,Não gostei muito.,False
721,Davi Fogaça,Batman: O Cavaleiro das Trevas,Filme,2,Não gostei muito.,False
722,João Guilherme Porto,Cidade de Deus,Filme,2,Não funcionou pra mim.,False
723,Giovanna Andrade,Vale Tudo,Novela,1,"Péssimo, perdi meu tempo.",False
724,Camila Souza,Avenida Brasil,Novela,3,"Bom, mas nada de especial.",False
725,Srta. Maysa Souza,Black Mirror,Série,1,"Terrível, um dos piores que já vi.",False
726,Jade Garcia,A Viagem de Chihiro,Filme,3,"Bom, mas nada de especial.",False
727,Zoe Moura,Stranger Things,Série,2,Não funcionou pra mim.,False
728,Natália Novaes,Fullmetal Alchemist: Brotherhood,Anime,4,Surpreendeu positivamente.,False
729,Rebeca Freitas,A Viagem de Chihiro,Filme,5,Perfeito! Uma obra-prima.,False
730,Alice Lopes,Parasita,Filme,3,Divertido para passar o tempo.,False
731,Renan Dias,Matrix,Filme,4,"Muito bom, gostei bastante.",False
732,Carlos Eduardo Barros,O Senhor dos Anéis: O Retorno do Rei,Filme,2,Achei a premissa fraca.,False
733,Davi Lucas Oliveira,O Clone,Novela,1,Muito ruim.,False
734,Sr. Cauê Machado,Game of Thrones,Série,5,Recomendo para todo mundo!,False
735,Dra. Kamilly Melo,O Senhor dos Anéis: O Retorno do Rei,Filme,1,Muito ruim.,False
736,Arthur Miguel Cardoso,Fullmetal Alchemist: Brotherhood,Anime,2,"Esperava bem mais, foi uma decepção.",False
737,Alexia Guerra,Dark,Série,1,"Péssimo, perdi meu tempo.",False
738,Diego Campos,Jujutsu Kaisen,Anime,3,"Bom, mas nada de especial.",False
739,Kevin Farias,A Origem,Filme,1,Muito ruim.,False
740,Augusto Silva,Cidade de Deus,Filme,1,"Péssimo, perdi meu tempo.",False
741,Caleb da Conceição,Batman: O Cavaleiro das Trevas,Filme,2,Não gostei muito.,False
742,Evelyn Camargo,Black Mirror,Série,3,Divertido para passar o tempo.,False
743,Arthur Gabriel Fonseca,O Clone,Novela,3,Divertido para passar o tempo.,False
744,Natália Fernandes,Avenida Brasil,Novela,5,Perfeito! Uma obra-prima.,False
745,Aylla Almeida,O Senhor dos Anéis: O Retorno do Rei,Filme,4,Ótima história e personagens.,False
746,Theo Ramos,A Viagem de Chihiro,Filme,1,"Péssimo, perdi meu tempo.",False
747,Natália Araújo,Fullmetal Alchemist: Brotherhood,Anime,2,Não gostei muito.,False
748,Maria Liz Moraes,Attack on Titan,Anime,2,Não gostei muito.,False
749,Alícia Mendonça,Jujutsu Kaisen,Anime,4,"Quase perfeito, vale muito a pena.",False
750,Vitória Cavalcante,Senhora do Destino,Novela,3,Divertido para passar o tempo.,False
751,Maria Luiza Costa,Parasita,Filme,3,Divertido para passar o tempo.,False
752,Brayan Pinto,A Viagem de Chihiro,Filme,2,Não gostei muito.,False
753,Vitor Hugo Brito,A Viagem de Chihiro,Filme,4,"Quase perfeito, vale muito a pena.",False
754,Dr. Bruno Guerra,O Poderoso Chefão,Filme,3,"É ok, mas não me marcou.",False
755,Srta. Esther Silva,Vale Tudo,Novela,2,Achei a premissa fraca.,False
756,Caroline Almeida,A Origem,Filme,5,"Incrível, assistiria de novo.",False
757,Igor Sousa,A Origem,Filme,5,"Incrível, assistiria de novo.",False
758,Bruno Pastor,Batman: O Cavaleiro das Trevas,Filme,4,Surpreendeu positivamente.,False
759,Otávio Cassiano,A Viagem de Chihiro,Filme,3,Divertido para passar o tempo.,False
760,Dra. Ana Lívia Fogaça,Dark,Série,2,Achei a premissa fraca.,False
761,Sra. Fernanda Almeida,O Poderoso Chefão,Filme,1,"Péssimo, perdi meu tempo.",False
762,Benício Teixeira,Stranger Things,Série,3,Tem seus altos e baixos.,False
763,Anthony Marques,Fullmetal Alchemist: Brotherhood,Anime,4,"Muito bom, gostei bastante.",False
764,Stephany Pinto,Naruto,Anime,1,"Péssimo, perdi meu tempo.",False
765,Juan Pastor,Game of Thrones,Série,2,Não funcionou pra mim.,False
766,Sophia Cardoso,Avenida Brasil,Novela,4,Surpreendeu positivamente.,False
767,Dr. Diego Garcia,A Viagem de Chihiro,Filme,1,"Terrível, um dos piores que já vi.",False
768,Maria Julia Brito,Dark,Série,2,Achei a premissa fraca.,False
769,Juan Nunes,Demon Slayer,Anime,2,"Esperava bem mais, foi uma decepção.",False
770,Gabrielly Gomes,Stranger Things,Série,4,Surpreendeu positivamente.,False
771,Antony Silva,O Senhor dos Anéis: O Retorno do Rei,Filme,5,Sensacional!,False
772,Clara Abreu,Batman: O Cavaleiro das Trevas,Filme,4,Ótima história e personagens.,False
773,Ana Mendes,Fullmetal Alchemist: Brotherhood,Anime,1,Muito ruim.,False
774,Sr. Ravi Ferreira,Cidade de Deus,Filme,1,Muito ruim.,False
775,Dante Fonseca,Batman: O Cavaleiro das Trevas,Filme,1,"Terrível, um dos piores que já vi.",False
776,Fernanda Nogueira,Senhora do Destino,Novela,2,"Esperava bem mais, foi uma decepção.",False
777,Maria Ferreira,Attack on Titan,Anime,1,"Péssimo, perdi meu tempo.",False
778,Isabella Rios,Avenida Brasil,Novela,1,"Terrível, um dos piores que já vi.",False
779,Stella Santos,A Origem,Filme,2,"Esperava bem mais, foi uma decepção.",False
780,Yuri Azevedo,Dark,Série,3,"Bom, mas nada de especial.",False
781,Ravi Lucca Pastor,The Office,Série,5,Sensacional!,False
782,Beatriz Marques,Batman: O Cavaleiro das Trevas,Filme,5,Top 10 da minha vida.,False
783,Srta. Allana Araújo,Fullmetal Alchemist: Brotherhood,Anime,2,Não gostei muito.,False
784,Sra. Laís Rodrigues,Stranger Things,Série,4,Ótima história e personagens.,False
785,Asafe Cunha,Dark,Série,4,Surpreendeu positivamente.,False
786,Arthur Gabriel Vargas,Senhora do Destino,Novela,5,Perfeito! Uma obra-prima.,False
787,Lívia Souza,O Senhor dos Anéis: O Retorno do Rei,Filme,5,Recomendo para todo mundo!,False
788,André Machado,O Clone,Novela,1,"Terrível, um dos piores que já vi.",False
789,Cauã Porto,Vale Tudo,Novela,1,"Péssimo, perdi meu tempo.",False
790,Matheus Jesus,Demon Slayer,Anime,4,"Quase perfeito, vale muito a pena.",False
791,Hellena Nascimento,Demon Slayer,Anime,1,"Péssimo, perdi meu tempo.",False
792,Luana Correia,Pulp Fiction,Filme,5,Recomendo para todo mundo!,False
793,Nicole da Cruz,The Office,Série,2,Achei a premissa fraca.,False
794,Maya Teixeira,Senhora do Destino,Novela,5,Recomendo para todo mundo!,False
795,Anthony Gabriel Marques,Senhora do Destino,Novela,4,Surpreendeu positivamente.,False
796,Pietra Cardoso,Senhora do Destino,Novela,5,Perfeito! Uma obra-prima.,False
797,Guilherme Moreira,Matrix,Filme,4,"Quase perfeito, vale muito a pena.",False
798,Isabella Leão,O Senhor dos Anéis: O Retorno do Rei,Filme,5,Perfeito! Uma obra-prima.,False
799,Sabrina Sousa,Parasita,Filme,2,Não gostei muito.,False
800,Isabella Sousa,A Viagem de Chihiro,Filme,2,Achei a premissa fraca.,False
801,Diogo da Mota,A Origem,Filme,5,Top 10 da minha vida.,False
802,Agatha Novaes,Breaking Bad,Série,2,Não gostei muito.,False
803,Brenda Garcia,Senhora do Destino,Novela,2,Achei a premissa fraca.,False
804,Sra. Beatriz Machado,Cidade de Deus,Filme,1,Não recomendo de jeito nenhum.,False
805,Sra. Mirella Castro,Game of Thrones,Série,2,Não gostei muito.,False
806,Ravy Pimenta,Cidade de Deus,Filme,3,Tem seus altos e baixos.,False
807,Sr. Mateus da Mota,Cidade de Deus,Filme,2,"Esperava bem mais, foi uma decepção.",False
808,Giovanna Albuquerque,Batman: O Cavaleiro das Trevas,Filme,2,Achei a premissa fraca.,False
809,Ana Sophia Abreu,Avenida Brasil,Novela,1,"Péssimo, perdi meu tempo.",False
810,Arthur Miguel Cavalcanti,The Office,Série,2,Achei a premissa fraca.,False
811,Bárbara Cassiano,Death Note,Anime,2,Achei a premissa fraca.,False
812,Ana Júlia da Cruz,A Viagem de Chihiro,Filme,1,"Terrível, um dos piores que já vi.",False
813,Antonella da Costa,Batman: O Cavaleiro das Trevas,Filme,1,Muito ruim.,False
814,Heloisa Jesus,Batman: O Cavaleiro das Trevas,Filme,4,Ótima história e personagens.,False
815,Maria Eduarda Camargo,Dark,Série,4,"Muito bom, gostei bastante.",False
816,Amanda Albuquerque,O Senhor dos Anéis: O Retorno do Rei,Filme,4,Ótima história e personagens.,False
817,Antony Abreu,Death Note,Anime,1,Muito ruim.,False
818,Fernanda Gomes,O Clone,Novela,3,"É ok, mas não me marcou.",False
819,Ana Liz Cardoso,Senhora do Destino,Novela,4,"Quase perfeito, vale muito a pena.",False
820,Maria Vitória Lopes,Fullmetal Alchemist: Brotherhood,Anime,5,"Incrível, assistiria de novo.",False
821,Otávio Moura,O Clone,Novela,5,Recomendo para todo mundo!,False
822,Valentina da Cunha,A Viagem de Chihiro,Filme,3,"É ok, mas não me marcou.",False
823,Ravi Lucca Pereira,Attack on Titan,Anime,3,"É ok, mas não me marcou.",False
824,Kamilly Cavalcanti,O Poderoso Chefão,Filme,1,Muito ruim.,False
825,Sra. Ana Beatriz da Conceição,Attack on Titan,Anime,1,"Terrível, um dos piores que já vi.",False
826,Hadassa Pimenta,Death Note,Anime,3,"Bom, mas nada de especial.",False
827,Rodrigo Rocha,O Clone,Novela,2,"Esperava bem mais, foi uma decepção.",False
828,Luiz Felipe Correia,Black Mirror,Série,4,"Quase perfeito, vale muito a pena.",False
829,João Pedro Martins,Senhora do Destino,Novela,3,"Bom, mas nada de especial.",False
830,Srta. Allana Porto,Breaking Bad,Série,3,Divertido para passar o tempo.,False
831,Dra. Julia Lima,O Clone,Novela,5,Recomendo para todo mundo!,False
832,Henry Gabriel Porto,Matrix,Filme,4,Ótima história e personagens.,False
833,Lorena Siqueira,A Origem,Filme,2,Não gostei muito.,False
834,Valentim Sales,Matrix,Filme,3,Divertido para passar o tempo.,False
835,Dra. Nina Teixeira,Matrix,Filme,1,"Terrível, um dos piores que já vi.",False
836,Maria Alice Alves,Death Note,Anime,3,Divertido para passar o tempo.,False
837,Rafaela Nogueira,Pulp Fiction,Filme,3,Tem seus altos e baixos.,False
838,Matheus Mendonça,O Poderoso Chefão,Filme,4,"Muito bom, gostei bastante.",False
839,Mariana Leão,Black Mirror,Série,5,Sensacional!,False
840,Srta. Stephany Alves,The Office,Série,3,Tem seus altos e baixos.,False
841,Julia Pinto,Batman: O Cavaleiro das Trevas,Filme,3,"Bom, mas nada de especial.",False
842,Diego Porto,Matrix,Filme,5,Perfeito! Uma obra-prima.,False
843,Pedro Henrique Siqueira,Demon Slayer,Anime,2,Não funcionou pra mim.,False
844,Maria Alice Sá,O Clone,Novela,2,Não gostei muito.,False
845,Pedro Lucas Pires,Interestelar,Filme,1,Não recomendo de jeito nenhum.,False
846,Nina Melo,Dark,Série,3,"Bom, mas nada de especial.",False
847,Rafaela Fernandes,Parasita,Filme,5,Sensacional!,False
848,Dom Azevedo,Dark,Série,1,"Péssimo, perdi meu tempo.",False
849,Luana Albuquerque,Jujutsu Kaisen,Anime,2,Não funcionou pra mim.,False
850,Sra. Hadassa Cunha,Game of Thrones,Série,2,Não funcionou pra mim.,False
851,Benjamin Guerra,Black Mirror,Série,2,Achei a premissa fraca.,False
852,Stella da Conceição,O Senhor dos Anéis: O Retorno do Rei,Filme,2,Achei a premissa fraca.,False
853,Fernanda Vasconcelos,Vale Tudo,Novela,5,Top 10 da minha vida.,False
854,Davi Miguel Teixeira,Interestelar,Filme,4,"Muito bom, gostei bastante.",False
855,Sra. Nina da Paz,Avenida Brasil,Novela,4,Surpreendeu positivamente.,False
856,Ana Luiza Barros,Batman: O Cavaleiro das Trevas,Filme,4,Ótima história e personagens.,False
857,Theodoro Lopes,Batman: O Cavaleiro das Trevas,Filme,5,Recomendo para todo mundo!,False
858,Maria Helena Ribeiro,Dark,Série,2,Não funcionou pra mim.,False
859,Bryan Araújo,Pulp Fiction,Filme,4,"Muito bom, gostei bastante.",False
860,Rafael Cunha,Pulp Fiction,Filme,2,"Esperava bem mais, foi uma decepção.",False
861,Hellena Pereira,Matrix,Filme,3,"Bom, mas nada de especial.",False
862,Theodoro Cardoso,Death Note,Anime,5,"Incrível, assistiria de novo.",False
863,Liam Pastor,Death Note,Anime,2,Não gostei muito.,False
864,Rafaela Caldeira,Avenida Brasil,Novela,4,Ótima história e personagens.,False
865,Otto Borges,Senhora do Destino,Novela,5,"Incrível, assistiria de novo.",False
866,Dr. João Vitor Abreu,Fullmetal Alchemist: Brotherhood,Anime,1,Não recomendo de jeito nenhum.,False
867,Ana Sophia Freitas,O Poderoso Chefão,Filme,5,Perfeito! Uma obra-prima.,False
868,Maria Luísa Brito,Pulp Fiction,Filme,4,Ótima história e personagens.,False
869,Vitor Hugo Pimenta,O Senhor dos Anéis: O Retorno do Rei,Filme,5,Perfeito! Uma obra-prima.,False
870,Evelyn Costa,O Poderoso Chefão,Filme,4,"Muito bom, gostei bastante.",False
871,Ravy Albuquerque,Senhora do Destino,Novela,5,Sensacional!,False
872,Yan Borges,Parasita,Filme,4,Ótima história e personagens.,False
873,Nicolas Pimenta,Attack on Titan,Anime,5,Recomendo para todo mundo!,False
874,Sra. Clara Ribeiro,Naruto,Anime,4,"Muito bom, gostei bastante.",False
875,Sr. Brayan Pacheco,Parasita,Filme,4,Ótima história e personagens.,False
876,Luiza Costela,O Senhor dos Anéis: O Retorno do Rei,Filme,1,"Terrível, um dos piores que já vi.",False
877,Nicole Farias,Vale Tudo,Novela,2,Achei a premissa fraca.,False
878,Elisa Casa Grande,O Poderoso Chefão,Filme,1,"Péssimo, perdi meu tempo.",False
879,Sra. Gabrielly Silva,Attack on Titan,Anime,4,"Muito bom, gostei bastante.",False
880,Eduarda da Paz,Death Note,Anime,3,"É ok, mas não me marcou.",False
881,Dra. Anna Liz Vargas,O Clone,Novela,2,Não funcionou pra mim.,False
882,Ana Vitória Leão,Batman: O Cavaleiro das Trevas,Filme,4,Surpreendeu positivamente.,False
883,Zoe Rodrigues,Demon Slayer,Anime,5,Perfeito! Uma obra-prima.,False
884,Allana da Costa,Dark,Série,3,Tem seus altos e baixos.,False
885,Sophia Aparecida,Naruto,Anime,3,"É ok, mas não me marcou.",False
886,Nicolas Rodrigues,Breaking Bad,Série,5,Perfeito! Uma obra-prima.,False
887,Diogo Pires,Vale Tudo,Novela,5,Top 10 da minha vida.,False
888,Rael Vargas,Parasita,Filme,4,Ótima história e personagens.,False
889,Valentina Cunha,Fullmetal Alchemist: Brotherhood,Anime,3,Divertido para passar o tempo.,False
890,Olívia Vieira,Stranger Things,Série,4,Ótima história e personagens.,False
891,Maria Cecília Caldeira,Vale Tudo,Novela,3,"Bom, mas nada de especial.",False
892,Srta. Maria Cecília Fonseca,A Viagem de Chihiro,Filme,2,"Esperava bem mais, foi uma decepção.",False
893,Mathias Alves,Parasita,Filme,1,Não recomendo de jeito nenhum.,False
894,Léo Camargo,A Origem,Filme,5,Sensacional!,False
895,Bella Sales,Fullmetal Alchemist: Brotherhood,Anime,4,"Quase perfeito, vale muito a pena.",False
896,Emanuella Vieira,Jujutsu Kaisen,Anime,1,"Péssimo, perdi meu tempo.",False
897,Srta. Maria Clara Machado,Dark,Série,1,Não recomendo de jeito nenhum.,False
898,Leandro Rezende,Game of Thrones,Série,4,"Muito bom, gostei bastante.",False
899,Isis Siqueira,Avenida Brasil,Novela,4,"Quase perfeito, vale muito a pena.",False
900,Thiago da Mata,Demon Slayer,Anime,4,"Quase perfeito, vale muito a pena.",False
901,Melissa Ferreira,Interestelar,Filme,5,"Incrível, assistiria de novo.",False
902,Ana Vitória Cunha,A Viagem de Chihiro,Filme,2,"Esperava bem mais, foi uma decepção.",False
903,Eloá Machado,A Origem,Filme,1,Muito ruim.,False
904,Luiz Henrique Jesus,Parasita,Filme,5,Top 10 da minha vida.,False
905,Daniel Alves,Cidade de Deus,Filme,1,"Péssimo, perdi meu tempo.",False
906,Pedro Miguel Aragão,Stranger Things,Série,3,Divertido para passar o tempo.,False
907,Esther Dias,Demon Slayer,Anime,1,Não recomendo de jeito nenhum.,False
908,Olivia Gomes,Dark,Série,4,"Quase perfeito, vale muito a pena.",False
909,Pedro Lucas Alves,Dark,Série,2,Não gostei muito.,False
910,Maria Júlia Vasconcelos,Dark,Série,1,"Péssimo, perdi meu tempo.",False
911,Brayan da Mota,A Origem,Filme,1,"Péssimo, perdi meu tempo.",False
912,João Gabriel Costela,Batman: O Cavaleiro das Trevas,Filme,2,Não funcionou pra mim.,False
913,João Lucas Araújo,O Senhor dos Anéis: O Retorno do Rei,Filme,2,Achei a premissa fraca.,False
914,Thomas Aragão,Stranger Things,Série,2,"Esperava bem mais, foi uma decepção.",False
915,Dr. Francisco Vieira,Fullmetal Alchemist: Brotherhood,Anime,1,Não recomendo de jeito nenhum.,False
916,Emanuel Cunha,Cidade de Deus,Filme,2,Não funcionou pra mim.,False
917,Isabella Santos,O Clone,Novela,3,"Bom, mas nada de especial.",False
918,Ísis Novais,O Clone,Novela,1,Muito ruim.,False
919,Bernardo Albuquerque,A Viagem de Chihiro,Filme,3,Divertido para passar o tempo.,False
920,Sr. Yago Rezende,Senhora do Destino,Novela,3,"Bom, mas nada de especial.",False
921,Carlos Eduardo Nunes,Senhora do Destino,Novela,3,"Bom, mas nada de especial.",False
922,Maria Júlia da Rosa,Dark,Série,3,Divertido para passar o tempo.,False
923,Maria Fernanda Casa Grande,Vale Tudo,Novela,4,"Muito bom, gostei bastante.",False
924,Benjamin Cardoso,Interestelar,Filme,3,"É ok, mas não me marcou.",False
925,Eduarda Monteiro,Black Mirror,Série,1,"Terrível, um dos piores que já vi.",False
926,Augusto Souza,Batman: O Cavaleiro das Trevas,Filme,1,Muito ruim.,False
927,Dra. Isabella Duarte,Vale Tudo,Novela,1,"Terrível, um dos piores que já vi.",False
928,Maria Liz Borges,Breaking Bad,Série,2,Achei a premissa fraca.,False
929,Alexandre da Luz,Stranger Things,Série,1,Não recomendo de jeito nenhum.,False
930,Miguel Pinto,Matrix,Filme,1,Não recomendo de jeito nenhum.,False
931,Sra. Heloisa Albuquerque,Fullmetal Alchemist: Brotherhood,Anime,2,Não funcionou pra mim.,False
932,Isaac da Cruz,O Clone,Novela,5,Perfeito! Uma obra-prima.,False
933,Calebe Fogaça,Death Note,Anime,4,"Muito bom, gostei bastante.",False
934,Lorena Cassiano,Interestelar,Filme,4,Surpreendeu positivamente.,False
935,Sra. Julia Borges,Avenida Brasil,Novela,5,Perfeito! Uma obra-prima.,False
936,Cecilia Casa Grande,Fullmetal Alchemist: Brotherhood,Anime,1,"Terrível, um dos piores que já vi.",False
937,Raul da Rocha,Interestelar,Filme,4,"Muito bom, gostei bastante.",False
938,Yuri Lopes,Breaking Bad,Série,4,Surpreendeu positivamente.,False
939,Caio Lopes,Fullmetal Alchemist: Brotherhood,Anime,5,Perfeito! Uma obra-prima.,False
940,Maria Alice Aparecida,Jujutsu Kaisen,Anime,5,Sensacional!,False
941,Sarah Casa Grande,Breaking Bad,Série,1,"Terrível, um dos piores que já vi.",False
942,Aylla Azevedo,A Origem,Filme,5,Recomendo para todo mundo!,False
943,Otávio Sales,Batman: O Cavaleiro das Trevas,Filme,3,Tem seus altos e baixos.,False
944,Amanda Campos,Pulp Fiction,Filme,5,Sensacional!,False
945,José Pedro Farias,Death Note,Anime,2,Achei a premissa fraca.,False
946,Luna Macedo,Vale Tudo,Novela,2,Achei a premissa fraca.,False
947,Ana Cecília Costela,Stranger Things,Série,3,Divertido para passar o tempo.,False
948,Davi Lucas Fernandes,A Viagem de Chihiro,Filme,4,"Muito bom, gostei bastante.",False
949,Gustavo Gomes,The Office,Série,4,Surpreendeu positivamente.,False
950,Fernanda da Cunha,O Poderoso Chefão,Filme,2,Não gostei muito.,False
951,Vinicius Macedo,Stranger Things,Série,2,Não gostei muito.,False
952,Luiza Correia,Jujutsu Kaisen,Anime,3,Tem seus altos e baixos.,False
953,Dr. Gustavo Rocha,Stranger Things,Série,5,"Incrível, assistiria de novo.",False
954,Manuella da Conceição,Interestelar,Filme,5,Recomendo para todo mundo!,False
955,João Pedro Fernandes,O Clone,Novela,3,"Bom, mas nada de especial.",False
956,Melina Correia,Jujutsu Kaisen,Anime,2,Achei a premissa fraca.,False
957,Sr. Nicolas Casa Grande,O Clone,Novela,3,"É ok, mas não me marcou.",False
958,Sr. Luiz Otávio Moraes,O Senhor dos Anéis: O Retorno do Rei,Filme,2,"Esperava bem mais, foi uma decepção.",False
959,Gabriel Mendes,The Office,Série,1,Não recomendo de jeito nenhum.,False
960,Rhavi Moura,Game of Thrones,Série,5,Recomendo para todo mundo!,False
961,Yasmin Dias,Attack on Titan,Anime,3,"É ok, mas não me marcou.",False
962,Srta. Maria Eduarda da Cunha,Vale Tudo,Novela,1,Não recomendo de jeito nenhum.,False
963,Eloá da Luz,Black Mirror,Série,5,Top 10 da minha vida.,False
964,Antônio Ferreira,Batman: O Cavaleiro das Trevas,Filme,2,"Esperava bem mais, foi uma decepção.",False
965,Isabela da Paz,Dark,Série,3,Tem seus altos e baixos.,False
966,Isaac Cavalcante,Stranger Things,Série,4,"Muito bom, gostei bastante.",False
967,Benjamin Porto,Dark,Série,1,Não recomendo de jeito nenhum.,False
968,Caleb Porto,Game of Thrones,Série,2,Achei a premissa fraca.,False
969,Davi Lucas Costa,Interestelar,Filme,2,"Esperava bem mais, foi uma decepção.",False
970,Leonardo Santos,O Clone,Novela,3,Divertido para passar o tempo.,False
971,Joana Farias,Jujutsu Kaisen,Anime,4,Ótima história e personagens.,False
972,Sr. Pedro da Costa,Breaking Bad,Série,5,Sensacional!,False
973,Beatriz Pimenta,Avenida Brasil,Novela,3,Tem seus altos e baixos.,False
974,Joana Cunha,Fullmetal Alchemist: Brotherhood,Anime,3,Tem seus altos e baixos.,False
975,Rhavi Ramos,O Clone,Novela,5,"Incrível, assistiria de novo.",False
976,Maria Vitória Freitas,Vale Tudo,Novela,3,"É ok, mas não me marcou.",False
977,Maria Vitória Montenegro,Fullmetal Alchemist: Brotherhood,Anime,5,Perfeito! Uma obra-prima.,False
